"","go_id","pval","padj","description","full_go","cluster"
"50","GO:0050896",2.03185560839819e-06,0.000646292631919298,"response to stimulus","GO:0050896 response to stimulus",1
"51","GO:1902531",2.21380340146748e-06,0.000690359397979192,"regulation of intracellular signal transduction","GO:1902531 regulation of intracellular signal transduction",1
"52","GO:0001944",2.27229262235366e-06,0.000694971958959859,"vasculature development","GO:0001944 vasculature development",1
"53","GO:0051246",2.37299291432505e-06,0.000712076968102369,"regulation of protein metabolic process","GO:0051246 regulation of protein metabolic process",1
"54","GO:0050789",2.48022114770101e-06,0.000730471058019203,"regulation of biological process","GO:0050789 regulation of biological process",1
"55","GO:0120192",2.79331556116895e-06,0.000807725285178744,"tight junction assembly","GO:0120192 tight junction assembly",1
"56","GO:0031324",3.01897358088578e-06,0.000842346593515919,"negative regulation of cellular metabolic process","GO:0031324 negative regulation of cellular metabolic process",1
"57","GO:0045682",2.96795193342443e-06,0.000842346593515919,"regulation of epidermis development","GO:0045682 regulation of epidermis development",1
"58","GO:0051172",3.17624121647012e-06,0.000870947246667946,"negative regulation of nitrogen compound metabolic process","GO:0051172 negative regulation of nitrogen compound metabolic process",1
"59","GO:0010506",3.28959973101664e-06,0.000886742273255739,"regulation of autophagy","GO:0010506 regulation of autophagy",1
"60","GO:0044248",3.71940857555804e-06,0.000985891233094586,"cellular catabolic process","GO:0044248 cellular catabolic process",1
"61","GO:0001568",3.87521648194027e-06,0.00101035152342259,"blood vessel development","GO:0001568 blood vessel development",1
"62","GO:0035295",3.94519041158172e-06,0.00101200497267412,"tube development","GO:0035295 tube development",1
"63","GO:0010631",4.12494417839664e-06,0.00104131924147968,"epithelial cell migration","GO:0010631 epithelial cell migration",1
"64","GO:0007165",4.27549301319122e-06,0.00106246001377802,"signal transduction","GO:0007165 signal transduction",1
"65","GO:0009057",4.39902013851522e-06,0.00106980514609729,"macromolecule catabolic process","GO:0009057 macromolecule catabolic process",1
"66","GO:0023052",4.5068501501835e-06,0.00106980514609729,"signaling","GO:0023052 signaling",1
"67","GO:0080134",4.4430617376869e-06,0.00106980514609729,"regulation of response to stress","GO:0080134 regulation of response to stress",1
"68","GO:0016192",4.93062278834829e-06,0.00110445950459002,"vesicle-mediated transport","GO:0016192 vesicle-mediated transport",1
"69","GO:0032269",4.81672741338352e-06,0.00110445950459002,"negative regulation of cellular protein metabolic process","GO:0032269 negative regulation of cellular protein metabolic process",1
"70","GO:0048646",4.87251584433775e-06,0.00110445950459002,"anatomical structure formation involved in morphogenesis","GO:0048646 anatomical structure formation involved in morphogenesis",1
"71","GO:0120193",4.80390995555965e-06,0.00110445950459002,"tight junction organization","GO:0120193 tight junction organization",1
"72","GO:0072359",5.24817694820614e-06,0.00114338364635987,"circulatory system development","GO:0072359 circulatory system development",1
"73","GO:0090132",5.20899155551278e-06,0.00114338364635987,"epithelium migration","GO:0090132 epithelium migration",1
"74","GO:0009056",5.74365017447958e-06,0.00123441908614761,"catabolic process","GO:0009056 catabolic process",1
"75","GO:0050794",5.99483548353559e-06,0.00127122484706867,"regulation of cellular process","GO:0050794 regulation of cellular process",1
"76","GO:0033043",6.84529925618404e-06,0.00143246893908356,"regulation of organelle organization","GO:0033043 regulation of organelle organization",1
"77","GO:0035239",7.00975223958582e-06,0.00144783246257627,"tube morphogenesis","GO:0035239 tube morphogenesis",1
"78","GO:0016567",7.64288353652391e-06,0.00153863822487185,"protein ubiquitination","GO:0016567 protein ubiquitination",1
"79","GO:0090130",7.61515609545121e-06,0.00153863822487185,"tissue migration","GO:0090130 tissue migration",1
"80","GO:0070830",9.26076667550662e-06,0.00184104041509072,"bicellular tight junction assembly","GO:0070830 bicellular tight junction assembly",1
"81","GO:0007265",9.93435194335206e-06,0.00191761535862231,"Ras protein signal transduction","GO:0007265 Ras protein signal transduction",1
"82","GO:0038026",1.00076757272166e-05,0.00191761535862231,"reelin-mediated signaling pathway","GO:0038026 reelin-mediated signaling pathway",1
"83","GO:0045684",9.92632496732272e-06,0.00191761535862231,"positive regulation of epidermis development","GO:0045684 positive regulation of epidermis development",1
"84","GO:0018149",1.02915050590751e-05,0.00194852495785154,"peptide cross-linking","GO:0018149 peptide cross-linking",1
"85","GO:0032501",1.04946507993885e-05,0.00196361089780558,"multicellular organismal process","GO:0032501 multicellular organismal process",1
"86","GO:0007043",1.16159885547036e-05,0.00213901896259621,"cell-cell junction assembly","GO:0007043 cell-cell junction assembly",1
"87","GO:0007154",1.18356180022929e-05,0.00213901896259621,"cell communication","GO:0007154 cell communication",1
"88","GO:0010605",1.17090322015028e-05,0.00213901896259621,"negative regulation of macromolecule metabolic process","GO:0010605 negative regulation of macromolecule metabolic process",1
"89","GO:0065009",1.21135810498788e-05,0.00216465610131767,"regulation of molecular function","GO:0065009 regulation of molecular function",1
"90","GO:0006996",1.3957524363163e-05,0.00246644963857494,"organelle organization","GO:0006996 organelle organization",1
"91","GO:0007167",1.49832107545484e-05,0.0026186042180257,"enzyme linked receptor protein signaling pathway","GO:0007167 enzyme linked receptor protein signaling pathway",1
"92","GO:0006508",1.57090402374142e-05,0.00269117872991071,"proteolysis","GO:0006508 proteolysis",1
"93","GO:1903828",1.57368977541308e-05,0.00269117872991071,"negative regulation of cellular protein localization","GO:1903828 negative regulation of cellular protein localization",1
"94","GO:0007166",1.61949912209105e-05,0.00271121200397221,"cell surface receptor signaling pathway","GO:0007166 cell surface receptor signaling pathway",1
"95","GO:0045859",1.61452638082091e-05,0.00271121200397221,"regulation of protein kinase activity","GO:0045859 regulation of protein kinase activity",1
"96","GO:0065007",1.74273714111931e-05,0.00288713453045433,"biological regulation","GO:0065007 biological regulation",1
"97","GO:0051248",1.78091129948647e-05,0.00291996013474564,"negative regulation of protein metabolic process","GO:0051248 negative regulation of protein metabolic process",1
"98","GO:0007169",1.82780396714259e-05,0.00296626472381998,"transmembrane receptor protein tyrosine kinase signaling pathway","GO:0007169 transmembrane receptor protein tyrosine kinase signaling pathway",1
"99","GO:0006914",1.93512569949128e-05,0.00301727834555974,"autophagy","GO:0006914 autophagy",1
"100","GO:0034330",1.90151134292767e-05,0.00301727834555974,"cell junction organization","GO:0034330 cell junction organization",1
"101","GO:0044257",1.92250591945364e-05,0.00301727834555974,"cellular protein catabolic process","GO:0044257 cellular protein catabolic process",1
"102","GO:0061919",1.93512569949128e-05,0.00301727834555974,"process utilizing autophagic mechanism","GO:0061919 process utilizing autophagic mechanism",1
"103","GO:0030036",2.06883768093852e-05,0.00316373023823521,"actin cytoskeleton organization","GO:0030036 actin cytoskeleton organization",1
"104","GO:0043549",2.05359895385389e-05,0.00316373023823521,"regulation of kinase activity","GO:0043549 regulation of kinase activity",1
"105","GO:0010632",2.12668533867148e-05,0.0032212193929744,"regulation of epithelial cell migration","GO:0010632 regulation of epithelial cell migration",1
"106","GO:0048585",2.24358934065062e-05,0.00336623064846296,"negative regulation of response to stimulus","GO:0048585 negative regulation of response to stimulus",1
"107","GO:0009967",2.80880574179438e-05,0.0041748828521026,"positive regulation of signal transduction","GO:0009967 positive regulation of signal transduction",1
"108","GO:0051716",2.86311698549561e-05,0.00421620486456687,"cellular response to stimulus","GO:0051716 cellular response to stimulus",1
"109","GO:0010648",3.03994231166712e-05,0.00443552683713339,"negative regulation of cell communication","GO:0010648 negative regulation of cell communication",1
"110","GO:0023057",3.33728856241677e-05,0.00482511248151603,"negative regulation of signaling","GO:0023057 negative regulation of signaling",1
"111","GO:0043297",3.42224092716651e-05,0.00490336213564471,"apical junction assembly","GO:0043297 apical junction assembly",1
"112","GO:0031329",3.71742364957336e-05,0.00514103528024476,"regulation of cellular catabolic process","GO:0031329 regulation of cellular catabolic process",1
"113","GO:0031399",3.65224350507081e-05,0.00514103528024476,"regulation of protein modification process","GO:0031399 regulation of protein modification process",1
"114","GO:0044260",3.7158494911298e-05,0.00514103528024476,"cellular macromolecule metabolic process","GO:0044260 cellular macromolecule metabolic process",1
"115","GO:1903320",3.67156225518894e-05,0.00514103528024476,"regulation of protein modification by small protein conjugation or removal","GO:1903320 regulation of protein modification by small protein conjugation or removal",1
"116","GO:0080135",3.84244263057232e-05,0.00526812134453639,"regulation of cellular response to stress","GO:0080135 regulation of cellular response to stress",1
"117","GO:0009968",3.98368766659067e-05,0.00541509133756051,"negative regulation of signal transduction","GO:0009968 negative regulation of signal transduction",1
"118","GO:0016241",4.18729727533191e-05,0.00564362507346429,"regulation of macroautophagy","GO:0016241 regulation of macroautophagy",1
"119","GO:1905114",4.24544369496046e-05,0.00567391063232363,"cell surface receptor signaling pathway involved in cell-cell signaling","GO:1905114 cell surface receptor signaling pathway involved in cell-cell signaling",1
"120","GO:0016236",4.34292481262886e-05,0.00575582301833745,"macroautophagy","GO:0016236 macroautophagy",1
"121","GO:1902532",4.47836231225522e-05,0.00588627059620719,"negative regulation of intracellular signal transduction","GO:1902532 negative regulation of intracellular signal transduction",1
"122","GO:0032872",4.58761860221899e-05,0.00598044969259761,"regulation of stress-activated MAPK cascade","GO:0032872 regulation of stress-activated MAPK cascade",1
"123","GO:0001667",4.635682081782e-05,0.00599397462021633,"ameboidal-type cell migration","GO:0001667 ameboidal-type cell migration",1
"124","GO:0043412",4.7020244608137e-05,0.00603072556651461,"macromolecule modification","GO:0043412 macromolecule modification",1
"125","GO:0060324",4.96712349508233e-05,0.00631977056526315,"face development","GO:0060324 face development",1
"126","GO:0010647",5.34333690738212e-05,0.00674447858531787,"positive regulation of cell communication","GO:0010647 positive regulation of cell communication",1
"127","GO:0048514",5.60803559451741e-05,0.00696798422618788,"blood vessel morphogenesis","GO:0048514 blood vessel morphogenesis",1
"128","GO:0060674",5.57057414494694e-05,0.00696798422618788,"placenta blood vessel development","GO:0060674 placenta blood vessel development",1
"129","GO:0070302",5.82972302741661e-05,0.0071872802347313,"regulation of stress-activated protein kinase signaling cascade","GO:0070302 regulation of stress-activated protein kinase signaling cascade",1
"130","GO:0032446",5.89668867390683e-05,0.00721391820537032,"protein modification by small protein conjugation","GO:0032446 protein modification by small protein conjugation",1
"131","GO:0070647",6.17368126542108e-05,0.00749513182024862,"protein modification by small protein conjugation or removal","GO:0070647 protein modification by small protein conjugation or removal",1
"132","GO:0009892",6.51241484791001e-05,0.00771942392462774,"negative regulation of metabolic process","GO:0009892 negative regulation of metabolic process",1
"133","GO:0023056",6.42871070357812e-05,0.00771942392462774,"positive regulation of signaling","GO:0023056 positive regulation of signaling",1
"134","GO:0031323",6.60111703816255e-05,0.00771942392462774,"regulation of cellular metabolic process","GO:0031323 regulation of cellular metabolic process",1
"135","GO:0034329",6.502269174789e-05,0.00771942392462774,"cell junction assembly","GO:0034329 cell junction assembly",1
"136","GO:0072659",6.60102189659879e-05,0.00771942392462774,"protein localization to plasma membrane","GO:0072659 protein localization to plasma membrane",1
"137","GO:0051338",6.91646019130479e-05,0.00797096977409503,"regulation of transferase activity","GO:0051338 regulation of transferase activity",1
"138","GO:0061024",6.86699416766016e-05,0.00797096977409503,"membrane organization","GO:0061024 membrane organization",1
"139","GO:2000026",7.498694131504e-05,0.00857980082499565,"regulation of multicellular organismal development","GO:2000026 regulation of multicellular organismal development",1
"140","GO:0016477",7.68467585287383e-05,0.00872979176886467,"cell migration","GO:0016477 cell migration",1
"141","GO:0044087",7.9788336637373e-05,0.00899967167291333,"regulation of cellular component biogenesis","GO:0044087 regulation of cellular component biogenesis",1
"142","GO:0008625",8.10314476583839e-05,0.009075522137739,"extrinsic apoptotic signaling pathway via death domain receptors","GO:0008625 extrinsic apoptotic signaling pathway via death domain receptors",1
"143","GO:0050790",8.95623155168729e-05,0.00996083262923319,"regulation of catalytic activity","GO:0050790 regulation of catalytic activity",1
"144","GO:0007010",9.74469539094054e-05,0.0107624746873277,"cytoskeleton organization","GO:0007010 cytoskeleton organization",1
"145","GO:0001701",9.82334711777111e-05,0.0107745181076574,"in utero embryonic development","GO:0001701 in utero embryonic development",1
"146","GO:0002934",0.000104313975060499,0.0113630784887821,"desmosome organization","GO:0002934 desmosome organization",1
"147","GO:0048608",0.000107556872375629,0.0116366292398776,"reproductive structure development","GO:0048608 reproductive structure development",1
"148","GO:0030029",0.000108609664463951,0.0116711358353694,"actin filament-based process","GO:0030029 actin filament-based process",1
"149","GO:0051403",0.000117304539505711,0.0125208818543545,"stress-activated MAPK cascade","GO:0051403 stress-activated MAPK cascade",1
"150","GO:0051239",0.00011976373436928,0.0126981495427268,"regulation of multicellular organismal process","GO:0051239 regulation of multicellular organismal process",1
"151","GO:0031098",0.000121471220105393,0.0127938959242131,"stress-activated protein kinase signaling cascade","GO:0031098 stress-activated protein kinase signaling cascade",1
"152","GO:0071816",0.000129706617706839,0.0135714082105893,"tail-anchored membrane protein insertion into ER membrane","GO:0071816 tail-anchored membrane protein insertion into ER membrane",1
"153","GO:0003205",0.000132052744027308,0.0136374470195475,"cardiac chamber development","GO:0003205 cardiac chamber development",1
"154","GO:0043408",0.000131616226456623,0.0136374470195475,"regulation of MAPK cascade","GO:0043408 regulation of MAPK cascade",1
"155","GO:0009893",0.000133906599108361,0.0136516061039703,"positive regulation of metabolic process","GO:0009893 positive regulation of metabolic process",1
"156","GO:0061458",0.000133203849015603,0.0136516061039703,"reproductive system development","GO:0061458 reproductive system development",1
"157","GO:0048584",0.000135322703839844,0.0137081037061712,"positive regulation of response to stimulus","GO:0048584 positive regulation of response to stimulus",1
"158","GO:0044265",0.000137934620135268,0.0138842544217171,"cellular macromolecule catabolic process","GO:0044265 cellular macromolecule catabolic process",1
"159","GO:0001525",0.000142656368043104,0.0142640823351366,"angiogenesis","GO:0001525 angiogenesis",1
"160","GO:0072583",0.000143501834357512,0.0142640823351366,"clathrin-dependent endocytosis","GO:0072583 clathrin-dependent endocytosis",1
"161","GO:0006915",0.000146790224174901,0.0143224032225621,"apoptotic process","GO:0006915 apoptotic process",1
"162","GO:0031396",0.00014498942212496,0.0143224032225621,"regulation of protein ubiquitination","GO:0031396 regulation of protein ubiquitination",1
"163","GO:0043405",0.000145932691135731,0.0143224032225621,"regulation of MAP kinase activity","GO:0043405 regulation of MAP kinase activity",1
"164","GO:0051129",0.000167160815111056,0.0162105219727209,"negative regulation of cellular component organization","GO:0051129 negative regulation of cellular component organization",1
"165","GO:0051603",0.00017387044047833,0.0167590029416203,"proteolysis involved in cellular protein catabolic process","GO:0051603 proteolysis involved in cellular protein catabolic process",1
"166","GO:1901575",0.000174945748379464,0.0167610673628132,"organic substance catabolic process","GO:1901575 organic substance catabolic process",1
"167","GO:0009887",0.000183751537827078,0.0174993081293524,"animal organ morphogenesis","GO:0009887 animal organ morphogenesis",1
"168","GO:0006469",0.000194811410881286,0.0184421468967618,"negative regulation of protein kinase activity","GO:0006469 negative regulation of protein kinase activity",1
"169","GO:0097190",0.000200265612675542,0.0188462976567563,"apoptotic signaling pathway","GO:0097190 apoptotic signaling pathway",1
"170","GO:0031325",0.000208353118475243,0.0194920470366486,"positive regulation of cellular metabolic process","GO:0031325 positive regulation of cellular metabolic process",1
"171","GO:0008283",0.000210099282584428,0.0195404619311271,"cell population proliferation","GO:0008283 cell population proliferation",1
"172","GO:0006511",0.000217170794848344,0.0200807227980701,"ubiquitin-dependent protein catabolic process","GO:0006511 ubiquitin-dependent protein catabolic process",1
"173","GO:0042127",0.000241946335220627,0.0222422804355425,"regulation of cell population proliferation","GO:0042127 regulation of cell population proliferation",1
"174","GO:0051179",0.000256982597343999,0.0234888001618331,"localization","GO:0051179 localization",1
"175","GO:0010256",0.000264856692457745,0.0240701762105599,"endomembrane system organization","GO:0010256 endomembrane system organization",1
"176","GO:0019941",0.000278148805407082,0.0251345375067854,"modification-dependent protein catabolic process","GO:0019941 modification-dependent protein catabolic process",1
"177","GO:0002009",0.000282433171701081,0.0253691010363095,"morphogenesis of an epithelium","GO:0002009 morphogenesis of an epithelium",1
"178","GO:1905037",0.000283934858178011,0.0253691010363095,"autophagosome organization","GO:1905037 autophagosome organization",1
"179","GO:0071900",0.000292346877675352,0.025974775098038,"regulation of protein serine/threonine kinase activity","GO:0071900 regulation of protein serine/threonine kinase activity",1
"180","GO:0098734",0.000298558943204829,0.0263793412929422,"macromolecule depalmitoylation","GO:0098734 macromolecule depalmitoylation",1
"181","GO:0010508",0.000304452061332309,0.0267514120631439,"positive regulation of autophagy","GO:0010508 positive regulation of autophagy",1
"182","GO:0033673",0.000307578603063745,0.0268776379292626,"negative regulation of kinase activity","GO:0033673 negative regulation of kinase activity",1
"183","GO:0048729",0.000311098808131756,0.0270366964181828,"tissue morphogenesis","GO:0048729 tissue morphogenesis",1
"184","GO:0007155",0.000334483903866104,0.0289110435167746,"cell adhesion","GO:0007155 cell adhesion",1
"185","GO:0042981",0.000351188100884375,0.0301907867917032,"regulation of apoptotic process","GO:0042981 regulation of apoptotic process",1
"186","GO:0010821",0.000363479808204275,0.0310794777939828,"regulation of mitochondrion organization","GO:0010821 regulation of mitochondrion organization",1
"187","GO:0071901",0.000368241987332871,0.0313182917996898,"negative regulation of protein serine/threonine kinase activity","GO:0071901 negative regulation of protein serine/threonine kinase activity",1
"188","GO:0032970",0.0003863110945895,0.0326802747252734,"regulation of actin filament-based process","GO:0032970 regulation of actin filament-based process",1
"189","GO:0022610",0.000401233033563334,0.0337630167502183,"biological adhesion","GO:0022610 biological adhesion",1
"190","GO:0010941",0.000408223575206316,0.0338415490371178,"regulation of cell death","GO:0010941 regulation of cell death",1
"191","GO:0048870",0.000410677751770859,0.0338415490371178,"cell motility","GO:0048870 cell motility",1
"192","GO:0051674",0.000410677751770859,0.0338415490371178,"localization of cell","GO:0051674 localization of cell",1
"193","GO:1902041",0.000409515570953245,0.0338415490371178,"regulation of extrinsic apoptotic signaling pathway via death domain receptors","GO:1902041 regulation of extrinsic apoptotic signaling pathway via death domain receptors",1
"194","GO:0043632",0.000431344653521493,0.0353613678845661,"modification-dependent macromolecule catabolic process","GO:0043632 modification-dependent macromolecule catabolic process",1
"195","GO:0016242",0.000438190006089763,0.0357383274710338,"negative regulation of macroautophagy","GO:0016242 negative regulation of macroautophagy",1
"196","GO:1901342",0.00045344632263225,0.0367939301793026,"regulation of vasculature development","GO:1901342 regulation of vasculature development",1
"197","GO:0031936",0.000463029942043721,0.0370855551400459,"negative regulation of chromatin silencing","GO:0031936 negative regulation of chromatin silencing",1
"198","GO:0043086",0.000462716108656324,0.0370855551400459,"negative regulation of catalytic activity","GO:0043086 negative regulation of catalytic activity",1
"199","GO:0060070",0.000464035806895695,0.0370855551400459,"canonical Wnt signaling pathway","GO:0060070 canonical Wnt signaling pathway",1
"200","GO:0061844",0.000474938461075135,0.0377671064246948,"antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844 antimicrobial humoral immune response mediated by antimicrobial peptide",1
"201","GO:1990778",0.000485167310844002,0.0383885617495672,"protein localization to cell periphery","GO:1990778 protein localization to cell periphery",1
"202","GO:0003206",0.000497960894105415,0.0390126603933622,"cardiac chamber morphogenesis","GO:0003206 cardiac chamber morphogenesis",1
"203","GO:0003231",0.000497960894105415,0.0390126603933622,"cardiac ventricle development","GO:0003231 cardiac ventricle development",1
"204","GO:0051171",0.000501119975563088,0.0390677063301733,"regulation of nitrogen compound metabolic process","GO:0051171 regulation of nitrogen compound metabolic process",1
"205","GO:2000027",0.000503875075550473,0.0390908741539255,"regulation of animal organ morphogenesis","GO:2000027 regulation of animal organ morphogenesis",1
"206","GO:0000165",0.000518083270312707,0.0399980404420063,"MAPK cascade","GO:0000165 MAPK cascade",1
"207","GO:0022607",0.000529064565217208,0.0406210544372185,"cellular component assembly","GO:0022607 cellular component assembly",1
"208","GO:1903322",0.000531261275335855,0.0406210544372185,"positive regulation of protein modification by small protein conjugation or removal","GO:1903322 positive regulation of protein modification by small protein conjugation or removal",1
"209","GO:0070848",0.000546353908427905,0.0413881214392066,"response to growth factor","GO:0070848 response to growth factor",1
"210","GO:0071363",0.00054649808238389,0.0413881214392066,"cellular response to growth factor stimulus","GO:0071363 cellular response to growth factor stimulus",1
"211","GO:0048227",0.000553148981821969,0.0416932768099365,"plasma membrane to endosome transport","GO:0048227 plasma membrane to endosome transport",1
"212","GO:0010498",0.000562433645920253,0.0420368813881216,"proteasomal protein catabolic process","GO:0010498 proteasomal protein catabolic process",1
"213","GO:0031331",0.000563447055998591,0.0420368813881216,"positive regulation of cellular catabolic process","GO:0031331 positive regulation of cellular catabolic process",1
"214","GO:0080090",0.000565637111233527,0.0420368813881216,"regulation of primary metabolic process","GO:0080090 regulation of primary metabolic process",1
"215","GO:0097191",0.000578619282933262,0.0428016794221888,"extrinsic apoptotic signaling pathway","GO:0097191 extrinsic apoptotic signaling pathway",1
"216","GO:0043067",0.000581724273294442,0.0428321427892352,"regulation of programmed cell death","GO:0043067 regulation of programmed cell death",1
"217","GO:0019731",0.000586306474971214,0.0429705906817613,"antibacterial humoral response","GO:0019731 antibacterial humoral response",1
"218","GO:0000902",0.000596664284515268,0.0435291228483065,"cell morphogenesis","GO:0000902 cell morphogenesis",1
"219","GO:0009894",0.00059948005409168,0.0435348437455438,"regulation of catabolic process","GO:0009894 regulation of catabolic process",1
"220","GO:0032874",0.000615732393174571,0.0443104433531601,"positive regulation of stress-activated MAPK cascade","GO:0032874 positive regulation of stress-activated MAPK cascade",1
"221","GO:0050878",0.000614148763168292,0.0443104433531601,"regulation of body fluid levels","GO:0050878 regulation of body fluid levels",1
"222","GO:0007033",0.000620038976583365,0.0444193688449632,"vacuole organization","GO:0007033 vacuole organization",1
"223","GO:0008286",0.000633865698534321,0.0452062783385194,"insulin receptor signaling pathway","GO:0008286 insulin receptor signaling pathway",1
"224","GO:0000045",0.000661349406600163,0.0457580849549814,"autophagosome assembly","GO:0000045 autophagosome assembly",1
"225","GO:0001890",0.000655432887402232,0.0457580849549814,"placenta development","GO:0001890 placenta development",1
"226","GO:0002784",0.00065529927581975,0.0457580849549814,"regulation of antimicrobial peptide production","GO:0002784 regulation of antimicrobial peptide production",1
